,gameId,season,role,lane,accountId
43,4227225657,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
44,4226252789,13,DUO,NONE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
45,4226146060,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
46,4225290711,13,DUO_SUPPORT,NONE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
47,4225136570,13,NONE,JUNGLE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
48,4225069903,13,DUO_SUPPORT,MID,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
49,4225054326,13,DUO_SUPPORT,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
50,4224937366,13,SOLO,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
51,4224891658,13,DUO_SUPPORT,NONE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
52,4223061077,13,DUO,MID,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
53,4222966815,13,DUO_SUPPORT,NONE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
54,4222847666,13,DUO,NONE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
55,4222810614,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
56,4222763533,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
57,4222632382,13,SOLO,MID,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
58,4218237494,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
59,4217069365,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
60,4216892789,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
61,4216753503,13,SOLO,TOP,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
62,4216560666,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
63,4216069997,13,DUO,NONE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
64,4216075409,13,DUO,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
65,4216061140,13,DUO,MID,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
66,4215966736,13,DUO_SUPPORT,NONE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
67,4215980399,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
68,4215759559,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
69,4215773214,13,DUO_SUPPORT,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
70,4215663649,13,DUO,NONE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
71,4215363858,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
72,4214979998,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
73,4214990276,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
74,4214820366,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
75,4214734117,13,NONE,JUNGLE,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
76,4214665912,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
77,4214567366,13,DUO_CARRY,BOTTOM,BB_S21KUEtgEFTusszVu05gcdvics5XlSSRJRbjzjAX_WTY
