win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas0-10,creepsPerMinDeltas10-20,creepsPerMinDeltas20-30,xpPerMinDeltas0-10,xpPerMinDeltas10-20,xpPerMinDeltas20-30,goldPerMinDeltas0-10,goldPerMinDeltas10-20,goldPerMinDeltas20-30,xpDiffPerMinDeltas0-10,xpDiffPerMinDeltas10-20,xpDiffPerMinDeltas20-30,damageTakenPerMinsDeltas0-10,damageTakenPerMinsDeltas10-20,damageTakenPerMinsDeltas20-30,damageTakenDiffPerMinsDeltas0-10,damageTakenDiffPerMinsDeltas10-20,damageTakenDiffPerMinsDeltas20-30
Carryo,1,2,8,5,2,1,1,354,0,0,0,0,0,106621,15994,90626,0,487,7377,1123,6253,0,1602,1,12399,5064,3577,29,9,16991,3851,12506,633,10052,9025,1,1,177,6,0,1,98,14,3,0,11,8,0,0,1,0,1,0,7,7.6,NaN,418.5,535.6,NaN,268.8,443.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
아이유칼,1,12,2,9,7,3,2,843,3,1,0,0,0,235873,477,191722,43673,0,29325,477,20121,8727,10495,1,32451,29752,15053,25,23,35876,10144,24909,822,17502,15858,5,0,252,25,15,4,230,18,1,0,11,6,1,0,1,0,0,1,6.5,9.7,8.7,476,576.9,805.1,339.4,525,724.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
해강고 원딜,1,5,3,9,2,1,2,849,0,0,0,0,0,290820,4197,285208,1414,2071,18469,590,17822,56,3920,5,8738,7786,5160,31,17,14547,3749,10516,282,15201,13925,1,0,258,62,39,16,93,16,5,0,11,9,0,0,0,0,0,1,8.4,9,5.9,351.70000000000005,521.5,428.79999999999995,312.9,537.2,397.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gi DDing,0,4,4,6,2,2,1,623,1,0,0,0,0,89876,10520,78772,584,432,11495,3945,7288,262,1348,3,5312,1937,654,11,1,11739,4071,6732,935,9917,9350,0,0,162,6,6,0,35,12,0,0,4,3,0,0,0,0,0,0,6.300000000000001,8,NaN,312.6,434.70000000000005,NaN,299.5,409.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gi DDing,1,5,4,9,3,1,1,820,0,0,0,0,0,166084,133357,30264,2461,0,18096,11989,4618,1487,8200,1,21744,4046,2353,36,5,27870,6932,20045,893,13889,12325,1,0,229,14,7,4,135,17,6,0,9,5,0,0,0,0,0,0,6.699999999999999,9.2,3.3,437,585.3,410.4,304.8,469.6,288.3,0.700000000000017,124.60000000000002,-71.79999999999998,NaN,NaN,NaN,NaN,NaN,NaN
JustLikeThatKR,0,0,2,6,0,0,0,685,0,0,0,0,0,101069,17912,74004,9152,0,3577,416,2835,326,5131,1,12366,13099,361,14,6,15032,4088,10541,402,6592,5900,0,0,18,96,80,0,368,10,5,0,10,1,0,0,0,0,NaN,0.3,1.4000000000000001,NaN,315.3,331.70000000000005,NaN,259.3,315.7,NaN,-58.89999999999999,-20.99999999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Thal Youtube구독,1,7,2,5,6,2,1,1092,2,0,0,0,0,380292,362582,14648,3061,0,33153,31175,1125,852,7168,1,15686,19470,4585,37,28,17883,9447,7805,630,17716,14325,2,0,344,50,34,4,249,18,5,0,16,7,0,0,0,0,0,0,9.1,9.3,8.8,508.8,502.8,594.9,295.1,409.4,494.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
훈련병이상호,1,8,3,4,5,3,2,782,1,1,0,0,0,242747,3974,238704,68,801,15677,1253,14355,68,2638,2,13844,26486,10603,23,25,11273,2166,8737,370,15499,13325,4,1,274,23,12,6,293,16,7,0,14,4,0,0,0,0,0,0,8.2,8.3,10.8,323.2,603.3,630.6,297.7,609.0999999999999,528,24.40000000000002,-8.599999999999994,4.900000000000006,NaN,NaN,NaN,NaN,NaN,NaN
Axiyo,1,12,6,13,4,2,4,470,2,0,0,0,0,178680,26492,141936,10252,576,26649,7914,18184,550,2624,3,14275,15396,4887,31,5,20785,7235,12590,959,15980,15275,1,0,208,32,20,4,71,15,1,0,10,8,0,0,0,0,0,1,7.1,9.2,4.5,294.2,595.7,554.8,261.7,716.7,569,-26.399999999999977,157.90000000000003,106.59999999999997,NaN,NaN,NaN,NaN,NaN,NaN
불질러,1,6,5,9,3,2,2,923,1,0,0,0,0,176452,29564,132753,14134,0,12398,861,9852,1684,7854,1,26324,24170,4599,50,16,27256,3754,23059,442,12548,10460,2,1,33,139,79,28,447,15,11,0,19,15,0,0,1,0,1,0,0.2,0.6,1.2,242.5,417.5,313.4,228.89999999999998,366.4,346.5,-36.499999999999986,-8.800000000000011,-401.9,NaN,NaN,NaN,NaN,NaN,NaN
Gen G Karis,0,1,3,2,0,1,0,457,0,0,0,0,0,75178,288,74890,0,0,4928,208,4719,0,2509,1,7128,3844,3769,11,8,12604,2612,9377,614,7092,5500,0,0,162,0,0,0,22,12,1,0,5,1,0,0,0,1,NaN,9.3,NaN,488.9,NaN,315.2,NaN,-2.700000000000017,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FA Tank,0,2,9,5,2,1,1,518,0,0,0,0,0,120473,105223,12365,2885,0,17566,16370,916,280,3023,1,17510,111,111,18,33,24527,6387,16699,1441,9457,8825,0,0,200,2,2,0,210,14,6,0,11,2,0,0,0,0,0,0,5.8,8.9,NaN,350.3,471.2,NaN,222.3,330.9,NaN,-201.1,-96,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SANDBOX Natalie,1,2,7,16,2,1,1,602,0,0,0,0,0,213236,153732,42591,16914,0,33016,29581,1848,1586,19790,1,28147,51375,3644,76,30,36539,4714,28944,2880,14809,13825,0,1,41,161,106,6,210,17,11,0,31,17,0,0,0,0,1,0,0.2,1.5,1.2999999999999998,283.6,384.6,521.9,209,377.1,381.9,-51,-49.10000000000002,147.59999999999997,NaN,NaN,NaN,NaN,NaN,NaN
