win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas0-10,creepsPerMinDeltas10-20,creepsPerMinDeltas20-30,xpPerMinDeltas0-10,xpPerMinDeltas10-20,xpPerMinDeltas20-30,goldPerMinDeltas0-10,goldPerMinDeltas10-20,goldPerMinDeltas20-30,xpDiffPerMinDeltas0-10,xpDiffPerMinDeltas10-20,xpDiffPerMinDeltas20-30,damageTakenPerMinsDeltas0-10,damageTakenPerMinsDeltas10-20,damageTakenPerMinsDeltas20-30,damageTakenDiffPerMinsDeltas0-10,damageTakenDiffPerMinsDeltas10-20,damageTakenDiffPerMinsDeltas20-30
SANDBOX TolanD,1,3,1,3,2,1,1,639,0,0,0,0,0,60774,3998,51046,5729,0,7525,581,6603,340,1751,1,3006,785,785,22,9,7103,1685,4416,1002,6715,6650,1,0,113,8,4,4,78,11,5,0,6,7,1,0,0,0,NaN,6.8999999999999995,NaN,476.29999999999995,NaN,324.3,NaN,97.29999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SANDBOX TolanD,0,7,7,6,4,1,2,589,0,0,0,0,0,162405,10000,142597,9807,437,25450,2982,21724,743,2014,1,14389,8463,1254,36,5,17556,8752,7932,870,13144,12850,0,0,186,9,4,0,47,15,4,0,15,5,1,0,0,0,0,0,6.699999999999999,6.3,4.4,401,499.5,441.6,319.8,514.9,374.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SANDBOX TolanD,1,10,3,9,5,1,3,589,0,0,0,0,0,71570,5749,65296,524,0,17837,1520,15792,524,3865,1,6343,7053,4990,25,22,18601,4090,13579,931,11431,10475,4,1,107,4,0,0,81,14,3,0,5,5,0,0,0,0,1,0,5.1,4.699999999999999,NaN,394.9,412.8,NaN,251.6,511,NaN,-22.19999999999999,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Axiyo,1,11,4,15,8,2,2,580,3,0,0,0,0,218248,11249,197944,9055,0,30480,2294,26393,1793,6684,4,25482,22452,3898,60,9,31887,12829,17143,1915,17060,15850,0,0,246,25,21,0,101,17,6,0,15,15,0,0,0,0,0,1,6.7,7.5,8.1,311.1,476.1,670.2,256.7,411,613,-27.15000000000002,9.650000000000006,61.44999999999999,NaN,NaN,NaN,NaN,NaN,NaN
FA Riris,0,0,10,10,0,0,0,485,0,0,0,0,0,149325,4201,141515,3608,477,22411,1571,20656,183,5622,3,9848,618,0,28,4,27996,12898,13970,1127,10910,10775,0,0,225,4,4,0,58,15,1,0,11,10,0,0,0,0,0,0,5.1,7.6,7.8,215.3,468.4,439.4,202.1,382.6,341.9,-56.64999999999998,9.049999999999983,-301.9,NaN,NaN,NaN,NaN,NaN,NaN
DeT1a,1,4,4,10,2,1,2,695,0,0,0,0,0,120769,77140,26299,17329,0,12108,9964,1154,989,6603,1,8424,38671,4941,78,29,19973,9113,10084,774,10103,8850,2,0,45,91,33,21,157,13,8,0,29,16,0,0,0,0,0,0,1,1.6,NaN,351,361.8,NaN,300.3,332.2,NaN,98.6,-15.799999999999983,NaN,NaN,NaN,NaN,NaN,NaN,NaN
막내현진 팔로우,0,0,6,15,0,0,0,752,0,0,0,0,0,28482,12500,7549,8432,4,5450,3758,1112,579,14410,6,20967,5337,0,60,24,20175,6335,13187,652,7742,6700,0,0,43,0,0,0,51,13,10,0,34,9,0,0,0,0,0,0,1.2,1.8,1.2000000000000002,216.4,355.2,427.20000000000005,144.9,257,253.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
대구수성구황금동,1,2,5,18,0,1,0,378,0,0,0,0,0,18450,6714,5493,6242,0,5767,3942,1747,78,6740,5,16149,3185,529,49,25,11906,2819,8276,811,7629,6800,0,0,25,0,0,0,106,12,6,0,24,5,0,0,0,0,0,1,1.3,1.1,NaN,249.89999999999998,280.5,NaN,185.4,278.6,NaN,-3.8000000000000256,43.550000000000026,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1145,1,5,4,15,3,1,2,561,0,0,0,0,0,132094,115282,11127,5683,0,22819,21209,540,1068,4822,1,21054,5813,718,26,12,20493,5643,12041,2809,12016,10925,0,0,185,1,1,0,152,16,7,0,17,2,0,0,0,0,0,0,5.4,7.5,5.3,410.8,462.79999999999995,558.5,275,312.20000000000005,433,20.600000000000023,-94.9,47.89999999999998,NaN,NaN,NaN,NaN,NaN,NaN
기엽다,1,8,2,8,7,2,1,853,1,0,0,0,0,82923,64790,15911,2221,0,11308,8189,2532,586,4148,1,8556,1623,1623,24,2,13964,5751,7761,452,9724,8905,0,0,146,0,0,0,65,13,5,0,9,4,0,0,0,0,0,1,6.8,7,NaN,434.1,481.9,NaN,229.5,557.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7 5,0,5,7,9,3,1,1,535,0,0,0,0,0,213403,8705,172869,31828,0,11961,0,9210,2751,19120,1,30063,32062,1289,43,20,41854,12386,28568,899,12612,11450,1,0,23,171,122,5,485,15,12,0,13,10,1,0,0,1,0,0,0.3,0.5,0.8,328.1,449,491.5,359,401.3,345,-23.30000000000001,-215.20000000000005,-73.60000000000002,NaN,NaN,NaN,NaN,NaN,NaN
Thal Youtube구독,0,4,3,3,2,2,2,806,1,0,0,0,0,87373,1426,69187,16759,0,13025,1426,7629,3969,2184,1,16010,8049,1706,14,15,19620,5292,14227,100,9020,9008,0,0,151,12,8,0,136,13,1,0,5,0,1,0,0,0,0,0,6.699999999999999,6.6000000000000005,NaN,462.1,457.6,NaN,282.9,342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Clever7,1,5,5,9,4,2,1,502,1,0,0,0,0,314697,4837,300640,9219,1131,24234,1575,19988,2671,2899,4,19555,27172,10351,43,10,19818,4511,14335,971,17117,13495,4,1,314,40,32,8,216,18,3,0,17,15,0,0,0,0,0,0,7.300000000000001,7.699999999999999,8,281.2,393.5,586.5999999999999,244.29999999999998,336.1,494.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
adcadcadcada,1,3,2,5,0,1,0,332,0,0,0,0,0,62441,4737,56864,840,400,4965,504,4261,200,773,2,2454,4139,4139,9,8,4515,349,4165,0,6959,5475,1,0,101,12,8,4,168,9,3,0,6,2,0,0,0,0,NaN,5.6,NaN,298.5,NaN,332.5,NaN,157.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN
top1v1,0,0,8,1,0,0,0,417,0,0,0,0,0,70696,27771,39235,3689,0,6755,3622,3132,0,330,1,19144,2300,0,15,17,20246,6631,9900,3715,6283,5695,0,0,142,0,0,0,360,12,3,0,10,1,0,0,0,0,0,0,6.5,6.9,NaN,413.1,492.1,NaN,232.89999999999998,278.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gen G Bonnie,0,6,4,0,5,2,1,750,1,0,0,0,0,134357,16402,114888,3066,0,7846,703,6675,468,8084,1,8999,9804,0,56,13,19663,6427,12675,560,9797,9550,0,0,43,126,79,12,262,12,7,0,5,23,1,0,0,0,0,0,0.4,2,NaN,349.70000000000005,381.9,NaN,355,371.1,NaN,-35.99999999999997,-159.50000000000003,NaN,NaN,NaN,NaN,NaN,NaN,NaN
캐 인,0,2,5,1,0,1,0,247,0,0,0,0,0,31521,4009,27431,80,0,5909,799,5029,80,2254,1,5720,0,0,11,8,12493,1694,9716,1082,5132,4250,0,0,90,0,0,0,45,9,2,0,5,1,1,0,0,0,NaN,6.4,NaN,392.4,NaN,267.79999999999995,NaN,-46.680000000000035,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Lego66,0,4,4,7,3,1,1,754,0,0,0,0,0,206753,28006,176063,2684,0,23427,2432,20006,988,11805,1,17234,7787,84,41,4,27640,8965,17187,1488,13487,12300,0,0,220,20,16,4,192,16,8,0,30,10,0,0,0,0,0,0,6,6.4,3.7,357,480.1,329.6,256.1,401.20000000000005,371.5,-60.19999999999999,-95.59999999999997,-40.400000000000006,NaN,NaN,NaN,NaN,NaN,NaN
감정 없는 킬러,1,0,7,15,0,0,0,606,0,0,0,0,0,37245,16677,11803,8764,0,7738,4783,1871,1083,2555,1,45312,4531,1934,103,44,23190,6981,14667,1541,9994,8425,0,0,43,0,0,0,263,16,15,0,56,15,0,0,0,0,0,0,1.1,1.7000000000000002,0.7,226.20000000000002,389.7,323.5,167.8,260.5,187.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Gen G Karis,0,6,5,3,3,1,2,905,0,0,0,0,0,200651,191440,8968,242,0,22408,20956,1291,160,8215,1,18600,4974,2707,27,21,26765,12927,13023,814,12953,12675,1,0,240,24,17,4,80,16,5,0,9,3,0,0,0,0,0,0,7.699999999999999,10.7,NaN,439.5,633,NaN,307.6,534.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
한나zzang,1,14,5,8,5,2,4,837,2,0,0,0,0,164332,12333,150670,1328,0,25272,1585,22766,920,5853,1,8756,1577,1577,80,27,20289,9016,9030,2242,15295,14200,1,0,217,21,12,0,197,16,8,0,30,18,0,0,0,0,0,0,7.300000000000001,8.3,5.800000000000001,455.4,437.6,649.4000000000001,398.79999999999995,452.3,548.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
승지부기,1,4,0,7,4,1,1,0,0,0,0,0,0,21852,12378,5603,3870,0,5630,4043,1173,414,0,0,3682,5000,4594,34,13,5171,903,4236,32,6454,6375,3,0,23,4,0,4,110,9,5,0,17,2,0,0,1,0,NaN,1.2,NaN,300.1,NaN,265.7,NaN,55.46000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN
승지부기,1,4,4,10,3,1,1,711,0,0,0,0,0,14390,11046,2673,670,0,9471,6722,2079,670,2188,4,3550,752,752,77,19,9531,4547,4716,267,6853,6635,0,0,19,0,0,0,101,10,6,0,44,13,0,0,0,0,NaN,0.5,1.4,NaN,304.6,329.8,NaN,299.3,299.1,NaN,73.00000000000001,75.60000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T1 해캄,1,10,2,7,9,3,1,1383,2,1,0,0,0,160520,2753,156879,888,679,15913,842,15070,0,2260,3,6641,26052,11348,24,9,10166,5204,4898,64,13572,14065,3,0,195,30,16,2,131,13,3,0,9,3,0,0,0,1,0,0,7.4,8.2,NaN,339.7,454.20000000000005,NaN,387.7,638.2,NaN,34.050000000000026,44.15000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
단군의청춘부재,1,3,1,2,3,1,1,992,0,0,0,0,0,74369,53435,12811,8122,0,6099,3965,1551,582,2160,1,5627,558,214,16,1,10805,1665,8602,536,6791,5935,0,0,132,0,0,0,48,12,4,0,9,2,0,0,0,0,NaN,7.3,NaN,476.29999999999995,NaN,310.5,NaN,49.880000000000024,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SANDBOX Natalie,1,7,3,13,4,2,2,817,1,0,0,0,0,163150,118940,33345,10865,0,18784,16725,1424,634,12530,1,10737,23266,4428,62,14,25268,9126,14830,1311,12275,10375,1,0,32,140,99,11,194,14,5,0,21,14,1,0,0,0,0,0,0.9,1.7,NaN,307.5,490.8,NaN,319.6,386.2,NaN,-39.400000000000006,-4.100000000000023,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T1 해캄,1,2,4,14,0,1,0,434,0,0,0,0,0,62411,0,61715,696,389,7608,0,7530,78,5631,5,3972,5379,962,26,26,10176,5164,4062,949,8665,7975,0,0,123,12,8,0,152,12,4,0,9,4,0,0,0,0,NaN,4.9,5.4,NaN,238.3,408.7,NaN,279.5,365.5,NaN,-20.749999999999986,-17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
한나zzang,0,2,3,2,0,1,0,1027,0,0,0,0,0,119848,5959,113889,0,485,9005,884,8120,0,858,1,5576,0,0,32,1,11193,2371,8779,42,9889,9537,0,0,227,8,8,0,11,13,3,0,11,9,0,0,0,0,0,0,7.9,9.3,NaN,284.9,455.70000000000005,NaN,254.5,411.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Miserable0707,1,2,5,14,0,1,0,301,0,0,0,0,0,20622,7361,5809,7450,0,6670,4005,2080,585,870,1,12263,328,328,23,40,10120,4386,5220,514,5991,5125,0,0,27,0,0,0,174,10,5,0,13,4,0,0,0,0,NaN,1.5,NaN,274.5,NaN,224.2,NaN,82.60000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hhjy,1,5,6,2,2,2,2,735,2,0,0,0,0,148551,123224,18066,7260,0,20481,17692,2788,0,6793,1,34760,4932,1536,31,5,28207,8185,18075,1946,13048,12075,0,0,218,13,11,0,40,16,5,0,15,7,0,0,0,0,0,1,6.4,8.899999999999999,4.699999999999999,397.7,562.5,450.1,226.2,447,383.9,-136.8,42.29999999999998,-89.5,NaN,NaN,NaN,NaN,NaN,NaN
Thal Youtube구독,1,5,0,8,5,2,1,1309,2,0,0,0,0,149810,28592,119781,1437,0,11769,2925,8127,716,2715,1,10035,21577,10830,13,6,9403,3209,6069,124,11614,10133,4,1,186,28,1,13,126,15,2,0,6,2,0,0,0,0,1,0,8.3,8.399999999999999,NaN,453.7,646.2,NaN,283.1,650.5,NaN,59.400000000000006,143.09999999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN
hanabi9,1,9,2,6,4,2,3,685,2,0,0,0,0,104435,364,90404,13665,0,14046,364,9383,4298,2837,1,9963,5547,4339,17,16,15058,6560,7789,708,11163,11083,2,1,167,12,5,0,176,14,2,0,9,1,0,0,0,0,1,0,8.100000000000001,6.8,NaN,499.4,548.3,NaN,421.6,497.09999999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
T1 allmight,1,15,5,13,11,3,3,701,2,1,0,0,0,159645,148607,8957,2080,0,33871,30629,1611,1630,5960,1,7682,12390,2868,38,15,18749,10781,7125,842,15382,13740,1,0,160,28,20,0,484,17,4,0,13,5,0,0,0,0,0,0,6.2,5.2,2.7,414.2,411.6,614.8,287.6,417.79999999999995,597.3,-104.80000000000004,-164.30000000000004,290.3,NaN,NaN,NaN,NaN,NaN,NaN
장야둥 장아동,0,1,5,3,0,1,0,426,0,0,0,0,0,92578,16288,69227,7061,0,5754,629,4772,351,9058,1,7943,2910,463,6,2,20533,5726,14369,437,6381,5925,0,0,30,79,66,4,132,10,2,0,2,0,0,0,0,0,0,0,0.6,2.4,NaN,236.4,442,NaN,227.8,339.79999999999995,NaN,-125.1,10.400000000000006,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRION Hena,1,6,1,4,4,2,2,621,2,0,0,0,0,79671,9203,68723,1744,0,11415,2433,8837,144,414,1,2858,10588,9076,13,1,7056,2116,4940,0,8890,7683,4,0,149,0,0,0,20,11,4,0,10,1,0,0,1,0,0,1,8,NaN,350.2,NaN,362.7,NaN,0.6800000000000068,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Thal Youtube구독,1,8,3,11,4,1,2,492,0,0,0,0,0,177758,8196,163865,5697,893,21929,2590,19143,196,1633,2,12056,19245,9789,19,10,13816,3735,9477,603,13327,11700,3,1,194,38,27,4,207,15,2,0,9,3,0,0,0,0,1,0,6.9,7.7,NaN,304.6,605.9000000000001,NaN,291,593.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
구마유시,0,2,6,2,0,1,0,768,0,0,0,0,0,82895,0,80572,2322,360,9383,0,9192,190,4617,2,7389,4951,2523,31,5,14396,1504,11352,1540,8833,7675,0,0,204,1,1,0,33,13,3,0,11,8,0,0,0,0,0,0,8.3,8.5,NaN,295,546.2,NaN,270.8,380.70000000000005,NaN,-18.700000000000017,17,NaN,NaN,NaN,NaN,NaN,NaN,NaN
롤오브레전드1234,1,0,4,8,0,0,0,931,0,0,0,0,0,19401,6766,4024,8610,0,3905,2276,839,790,0,0,11061,3594,1045,46,22,9628,3134,5735,758,5690,5695,1,0,30,0,0,0,36,11,9,0,25,4,0,0,0,0,0,0,1.1,1.7000000000000002,NaN,289.4,224.2,NaN,165.6,222.60000000000002,NaN,31.700000000000003,-102.14999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
해강고 원딜,1,9,7,9,3,2,2,307,2,0,0,0,0,157187,15593,141019,574,353,18141,4436,13626,78,2358,4,14438,11094,5532,15,17,16732,4515,11889,326,13279,11095,3,0,188,29,17,8,242,14,4,0,11,1,0,0,0,0,0,1,7.1,8.6,NaN,348.4,554.5,NaN,389.6,483.70000000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
여전히 그렇,1,2,2,11,2,1,1,574,0,0,0,0,0,24561,10829,7329,6402,0,5768,4367,1006,394,174,1,15722,5460,533,59,30,7966,3024,4652,290,6602,5625,0,0,39,0,0,0,134,12,7,0,28,10,0,0,0,0,0,1,1.2000000000000002,2.4,NaN,256.79999999999995,334.1,NaN,171.8,235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G2 Tian,1,6,2,12,4,2,2,651,1,0,0,0,0,119982,4417,90500,25064,0,13895,0,9992,3903,10620,1,10035,41061,1387,29,19,18298,4013,13327,957,9310,8450,1,0,34,105,51,13,285,12,5,0,4,6,1,0,0,0,NaN,2.3000000000000003,NaN,423.70000000000005,NaN,367.70000000000005,NaN,5.340000000000032,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FLY IgNar,1,3,3,19,0,1,0,362,0,0,0,0,0,28955,24243,3742,969,0,12791,10673,1423,694,6894,7,5412,5347,2102,66,24,11520,4114,6624,781,9665,8500,3,0,10,1,0,0,178,13,2,0,32,8,0,0,0,1,0,0,0,0.6,NaN,230.6,394.5,NaN,276.3,340.79999999999995,NaN,32.89999999999998,113.59999999999994,NaN,NaN,NaN,NaN,NaN,NaN,NaN
합리적인,0,0,7,12,0,0,0,400,0,0,0,0,0,85054,47328,37589,136,0,12625,8376,4112,136,1210,1,25272,4190,2851,18,35,25316,10340,12015,2960,8478,8110,2,0,139,5,5,0,334,14,2,0,11,3,0,0,0,0,0,0,5.5,6.300000000000001,NaN,396.20000000000005,477.1,NaN,216.7,351.29999999999995,NaN,-73.19999999999999,-16.599999999999994,NaN,NaN,NaN,NaN,NaN,NaN,NaN
실망자,0,0,4,6,0,0,0,368,0,0,0,0,0,107892,3328,94605,9958,0,5813,748,5064,0,2669,1,11534,6104,0,28,13,15125,1915,13112,97,7699,6925,0,0,172,14,5,0,37,13,4,0,9,5,0,0,0,0,NaN,6.5,9.3,NaN,432.20000000000005,555,NaN,231.6,389.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
buyaozhuawo1,0,2,7,7,0,1,0,776,0,0,0,0,0,20607,10031,5177,5397,0,8628,5414,986,2227,6831,6,40041,2584,1149,103,26,24844,7123,16873,847,10476,9475,0,0,30,0,0,0,88,15,19,0,60,9,0,0,0,0,0,1,1.3,1.4,0.1,288.3,236.4,357,202.9,247.2,258.2,25.200000000000045,-17.950000000000017,-87.79999999999998,NaN,NaN,NaN,NaN,NaN,NaN
SPG Jaguar,1,12,3,8,10,2,2,1182,2,0,0,0,0,180712,26343,149412,4956,0,32272,8830,22123,1318,1687,1,7900,19487,5666,27,9,16990,5037,11378,574,15392,14883,1,0,223,20,12,4,111,15,2,0,9,11,1,0,0,1,0,1,7.9,11.1,NaN,340.3,620.9000000000001,NaN,345.5,647.7,NaN,-8.900000000000006,73.80000000000004,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Thal Youtube구독,1,2,1,7,2,1,1,931,0,0,0,0,0,10897,2295,4426,4175,0,2666,1445,861,360,677,1,4502,440,440,29,10,5847,1258,3533,1056,4548,4425,0,0,21,0,0,0,33,9,4,0,11,5,0,0,0,0,0,1,1.2,NaN,285.9,NaN,220.6,NaN,75.89999999999998,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RNGzhao727472857,1,2,3,7,0,1,0,414,0,0,0,0,0,118030,76093,31889,10048,0,8667,6477,1014,1176,7401,1,6637,22700,1356,40,15,16753,3364,11960,1428,7953,7485,2,0,17,108,80,1,182,12,4,0,15,8,0,0,1,0,0,1,0.1,1.1,NaN,302.9,386.7,NaN,282.8,334.20000000000005,NaN,0.5000000000000284,27.49999999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN
M1 happy game,0,6,6,0,4,1,1,634,0,0,0,0,0,114488,20979,93299,210,0,13308,3127,9971,210,2869,1,24806,5611,5611,15,10,24632,8379,15508,744,11350,10133,1,0,185,13,8,1,78,14,0,0,8,3,0,0,0,0,0,0,6.5,11.8,NaN,389.1,723,NaN,250.5,647,NaN,-54.19999999999999,216.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Clever7,1,3,3,7,3,2,1,808,1,0,0,0,0,177352,2397,163418,11537,888,14495,742,13463,290,2726,4,10013,12959,6779,36,8,12185,6590,5185,410,12714,11575,1,0,241,24,20,0,136,15,3,0,13,12,0,0,0,0,0,1,8.1,8.2,6.6,312.79999999999995,397.3,646.6,270.5,348,563.3,-11.950000000000017,-84.35000000000002,222.39999999999998,NaN,NaN,NaN,NaN,NaN,NaN
Yoakedesu,0,6,4,4,4,1,1,656,0,0,0,0,0,135614,15847,107957,11808,0,15455,800,13728,926,9473,1,10829,11390,63,52,19,25466,10655,14480,330,9313,8675,0,0,32,112,71,17,275,13,8,0,20,10,0,0,0,0,NaN,0.2,2,NaN,324,558.5,NaN,278.4,409.9,NaN,48.79999999999998,143,NaN,NaN,NaN,NaN,NaN,NaN,NaN
need time xxx,1,9,4,10,4,2,2,692,1,0,0,0,0,158055,17974,132231,7849,0,16060,1102,14742,215,10817,1,13600,32788,4030,67,15,24243,4045,20104,93,12381,11450,0,0,36,118,75,7,104,15,8,0,26,13,0,0,0,0,0,0,1.2,0.4,0.6,314.79999999999995,247.39999999999998,543.2,274.9,277.8,397.3,-43.30000000000004,-73.3,274.4,NaN,NaN,NaN,NaN,NaN,NaN
happy   game ,1,1,7,18,0,1,0,268,0,0,0,0,0,18414,6121,5884,6408,0,6090,3698,1679,712,2128,1,17803,1625,1045,24,40,13987,4412,9083,491,6866,6400,0,0,29,0,0,0,158,11,0,0,12,3,0,0,0,0,NaN,0.7,2,NaN,223.4,373.6,NaN,183.9,323,NaN,-1.4500000000000028,9.949999999999989,NaN,NaN,NaN,NaN,NaN,NaN,NaN
z08x14,0,3,2,2,3,1,1,1132,0,0,0,0,0,112142,0,106128,6015,0,10644,0,10644,0,6297,1,11648,5715,1979,14,16,16497,3508,11810,1177,8469,8325,0,0,184,12,8,0,120,13,1,0,7,1,0,0,0,0,0,0,9.1,9.3,NaN,535.2,585.3,NaN,385.1,399.5,NaN,150.7,52.49999999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN
튀자튀자아,1,7,0,4,7,2,1,0,1,0,0,0,0,77876,936,76015,924,564,10984,306,10479,198,965,3,6629,7935,7935,9,4,6884,1132,5454,298,8614,6650,3,0,142,4,0,4,79,10,2,0,4,3,0,0,1,0,NaN,7.7,NaN,352.6,NaN,413.8,NaN,85.42000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
허수님,1,12,8,10,7,4,2,358,2,1,1,0,0,161466,134000,26046,1419,0,31265,25494,5504,266,7255,1,16651,4249,2439,28,5,26915,8742,17046,1126,15607,13850,1,1,217,12,12,0,88,17,8,0,10,1,0,0,0,0,0,0,9.5,6.199999999999999,5.3,466.1,443.4,730.9,289.79999999999995,401,658,-16,-234.20000000000002,414.5,NaN,NaN,NaN,NaN,NaN,NaN
DRX BigShot,0,5,7,9,2,2,2,474,1,0,0,0,0,108769,22276,81401,5091,0,14348,2130,11158,1059,6503,1,17340,11477,0,20,17,23718,8083,15399,236,8548,8350,0,0,15,100,78,0,327,12,9,0,14,6,1,0,0,0,0,0,0.1,1.1,NaN,300.5,519.3,NaN,331.4,413.6,NaN,-99.5,172.20000000000002,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SANDBOX Natalie,0,1,9,4,0,1,0,493,0,0,0,0,0,81510,4553,66104,10853,0,5631,0,4596,1034,8558,1,14234,7339,0,40,14,26911,7831,18800,280,6514,6275,0,0,16,75,61,7,217,12,6,0,17,10,0,0,0,0,0,0,0.30000000000000004,0.5,NaN,244.7,250.8,NaN,237.9,213.3,NaN,-50.900000000000006,-238.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN
길이 무거웠다,1,5,6,19,2,1,2,536,0,0,0,0,0,148661,15576,121155,11930,0,11140,859,9440,840,10034,1,23853,16063,1722,72,22,28782,9627,18325,829,12113,10425,0,1,22,126,92,8,346,14,10,0,30,10,0,0,0,0,1,0,0.1,0.5,NaN,267.1,463.9,NaN,272.1,435.79999999999995,NaN,-96.7,157.49999999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN
vvo1d6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Thal Youtube구독,1,7,3,12,4,2,1,557,1,0,0,0,0,134787,1667,130411,2709,0,23190,1226,21861,102,6908,1,12107,6022,1281,47,27,23534,14192,9317,25,13576,11875,0,0,205,10,5,0,173,16,5,0,16,8,0,0,0,0,NaN,7.6,7.7,4.1,470.4,473.5,554.5,337.3,421.2,380.9,56.599999999999994,-33.599999999999966,38.5,NaN,NaN,NaN,NaN,NaN,NaN
KkOma21,0,1,0,0,0,1,0,0,0,0,0,0,0,7390,3793,2841,756,0,131,64,45,22,1086,1,645,448,0,0,0,1562,0,1546,16,1278,500,0,0,0,12,9,0,70,3,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Sof13 CSGO,1,6,5,15,3,1,2,805,0,0,0,0,0,219881,5945,199611,14324,0,20476,1150,18196,1130,12183,1,17132,27614,4092,85,238,29509,7912,20102,1494,14971,15375,2,3,91,132,81,12,662,17,6,0,29,15,0,0,1,0,1,0,0.9,4.6,1.9,402.3,582.9000000000001,671.7,349,494.9,494.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LaoDa,0,7,4,7,5,2,1,886,1,0,0,0,0,267136,23096,233806,10233,576,16164,3531,12021,612,2119,2,16536,20980,4245,26,31,14494,5580,8658,255,15900,15105,0,0,289,40,31,1,331,16,3,0,9,6,0,0,0,1,0,0,8.4,8.899999999999999,8.7,306.6,476.1,498.1,336.70000000000005,587.8,427.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
