summonerName,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas0-10,creepsPerMinDeltas10-20,creepsPerMinDeltas20-30,xpPerMinDeltas0-10,xpPerMinDeltas10-20,xpPerMinDeltas20-30,goldPerMinDeltas0-10,goldPerMinDeltas10-20,goldPerMinDeltas20-30,xpDiffPerMinDeltas0-10,xpDiffPerMinDeltas10-20,xpDiffPerMinDeltas20-30,damageTakenPerMinsDeltas0-10,damageTakenPerMinsDeltas10-20,damageTakenPerMinsDeltas20-30,damageTakenDiffPerMinsDeltas0-10,damageTakenDiffPerMinsDeltas10-20,damageTakenDiffPerMinsDeltas20-30
Hylissang,1,15,10,10,5,4,4,371,2,1,1,0,0,194312,190337,770,3205,0,36864,35463,93,1307,3299,1,15430,8809,5509,16,44,37622,23522,13827,272,23851,27440,1,0,192,8,0,0,454,22,0,0,10,0,0,0,0,0,0,0,7.6,8.9,NaN,535.2,1421.9,NaN,714.1,1016.6,NaN,-8.599999999999994,332.19999999999993,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hylissang,1,8,9,3,3,2,2,169,1,0,0,0,0,88202,1000,86988,214,0,16115,220,15681,214,4216,1,13357,12763,1553,18,7,20392,7993,12120,278,14006,12420,0,0,81,12,0,8,206,15,0,0,12,0,0,0,0,0,0,1,4.4,NaN,520.4,NaN,802.1,NaN,-24.82000000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hylissang,1,2,10,19,0,1,0,214,0,0,0,0,0,73946,1670,50915,21360,0,20956,158,12022,8775,1911,1,29296,4277,4277,14,40,27050,13324,12002,1724,13390,12475,2,1,83,0,0,0,180,17,0,0,9,0,0,0,0,0,0,1,5.9,2.4,NaN,513.3,934.4,NaN,607.8,620.5,NaN,62.10000000000002,-115.79999999999995,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Hylissang,0,21,13,10,6,2,5,173,1,0,0,0,0,99480,86592,11228,1659,0,29218,22240,5318,1659,5013,1,19774,0,0,14,60,31228,14604,14468,2155,18578,17350,0,0,71,4,4,0,224,18,0,0,10,0,0,0,0,0,0,0,2,NaN,634,NaN,797.0999999999999,NaN,-47.48000000000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Werlyb,0,1,5,3,0,1,0,717,0,0,0,0,0,13329,11774,1216,338,0,5950,5003,608,338,1006,1,7093,458,458,26,28,11326,4974,5608,743,6302,5550,0,0,10,0,0,0,44,11,0,0,17,2,0,0,0,0,0,0,0.1,0.5,NaN,237.2,301.8,NaN,156.7,214,NaN,-35.55000000000001,-187.49999999999997,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Werlyb,0,0,9,3,0,0,0,504,0,0,0,0,0,19253,14747,1271,3235,0,10273,9027,506,740,0,0,5888,553,553,27,11,15186,4311,10429,446,5599,4850,0,0,13,0,0,0,15,10,2,0,13,3,0,0,0,0,0,0,0.5,0.5,NaN,276.9,217.2,NaN,182.1,241.3,NaN,-5.250000000000014,-324.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Werlyb,1,4,7,20,3,2,1,551,1,0,0,0,0,33374,10908,14311,8154,0,9812,4584,3398,1829,796,1,19576,3291,2044,49,53,19008,7850,10509,648,9249,7500,0,0,28,0,0,0,108,16,4,0,21,4,0,0,0,0,0,1,1.2,0.9,0.7,325.9,239.6,603.5,163.5,233.9,333.9,-10.25,-167.64999999999998,181.20000000000002,NaN,NaN,NaN,NaN,NaN,NaN
Werlyb,1,7,1,4,6,1,1,792,0,0,0,0,0,24973,21525,2885,562,0,7174,5599,1101,474,0,0,1637,1864,1864,19,11,4871,1558,3246,66,6947,6525,1,0,15,4,0,4,33,8,3,0,6,1,0,0,0,1,0,1,0.7,NaN,311.4,NaN,409.20000000000005,NaN,129.27999999999994,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Werlyb,1,1,10,34,0,1,0,407,0,0,0,0,0,40079,17009,15122,7947,0,12998,7552,4560,886,4562,5,59516,3801,1300,61,65,35088,13873,17976,3237,12354,12720,0,0,33,0,0,0,196,18,2,0,22,8,0,0,0,1,0,0,1.3,1.4,0.2,285.9,394.4,561.5,196.2,367.4,334.2,28.050000000000026,-52.29999999999998,27.349999999999966,NaN,NaN,NaN,NaN,NaN,NaN
Werlyb,1,7,6,6,4,2,2,905,1,0,0,0,0,63842,58648,3630,1563,0,22111,19984,563,1563,713,1,5495,7569,2992,44,15,17804,8247,8596,959,11031,11250,0,0,27,7,4,3,102,14,2,0,18,3,0,0,0,1,0,1,0.5,1.3,0.6,356.5,385.3,214.6,335.4,319.4,278.9,102.14999999999998,110.14999999999998,-189.7,NaN,NaN,NaN,NaN,NaN,NaN
